,product_name,product_review,Cosine_review_W2V,Sentiment
2200,Galaxy Dry Hopped Fort Point Pale Ale,112014  wow this is amazing incredible aromas of peach dank hops fruit poppin mildly sweet hoppy zesty fruity too flavors on the palate so good and balanced,0.7972861378285433,0.9365
344,Pliny The Elder,bottle kindly shared by gunnar deep golden to orange colour moderate white head very nice hoppy aroma fruity and herbal notes intense hoppy flavour but not too bitter fruity and spicy notes well balanced,0.7868131747210917,0.8198
1530,Citra,022015  pineapple and mango fosho with mild pine dank aromas fruity juicy nice hoppy tang tropical fruits on the palate sweet wee bitter clean finish though,0.7825294065237101,0.6908
1746,Ephraim,bright refereshing peppery orange citrus piney balanced bitterness nice lingering bitterness big boozy but so well balanced very drinkable for 10 great beer,0.7801854611727677,0.8863
739,Duck Duck Gooze,on tap at beavertown extravaganza aroma has some sweet malt and fruity lambic notes taste is tart fruity with floral yeast notes some honey clean malt and a hint of butterscotch really balanced and tasty,0.7729850345468223,0.6908
4310,Bad Boy,shared from a growler with ryan pours a pretty hazy orange body fresh hops and piney resinous aromas zesty citrus on the tongue is delicate but flavorful west coast style zesty hops piney and citrusy with a light bitterness on the finish moderate malt backbone smooth and easy especially for 9,0.772152889259563,0.5927
2146,A Deal With The Devil,052015  love the huge cognac aromas raisin and plum a slight maple subtle hoppy aromas sweet honey boozy caramel dank hops and more plum and some tobacco too chewy mouthfeel with flavors of raisin tobacco dark chocolate and cognac lingering,0.7707584249696867,0.8591
1199,Double Galaxy,soft gold foamy head aroma has underripe melon faint lemon musty hop palate is pretty balanced not super juicy more earthy fruit flavors like stone fruit maybe a little apricot with some grassy earthy hops medium bitterness,0.7667484213594773,-0.0377
2073,Flora Plum,insanely tart and funky bright acidity lemon white grape ripe ripe berry quality hay oak barnyard character spicy pepper note just really complex funky sour qualities its aggressive but so perfectly executed,0.7619772123749361,0.81
3592,Darkness,sweet burnt black figs fruity mid palate sticky finish velvetly smooth roasty chocolate hint of black licorice very little bitterness very nicely done,0.7572002614077451,0.5013
1622,Focal Banger,hazy yellowishorange with a big foamy head aroma is lemon grass pine blueberry taste is citrusy especially lemon with a strong bitterness also blueberry flavor from the mosiac hops juicier and fruitier than heady topper which is more piney and astringent,0.7569574251105519,0.1531
4332,Double Dry Hopped Double Mosaic Daydream,cloudy orange haze lots of tropical fruit and citrus very mild spice hefty orange and grapefruit nice juice quotient medium lighter caramel oats medium fuller bodied with soft carbonation very mild floral and zesty bitterness great stuff,0.7529564882655747,0.6369
4949,Affogato,on tap at beavertown extravaganza aroma has lots of fresh roasted coffee and sweet malts taste has astringent coffee sweet malt and a light roasty bitterness balanced and tasty,0.7487751834434624,0.6808
