,index,Freq
0,dark,2739
1,nice,2057
2,good,1959
3,light,1830
4,finish,1806
5,bottle,1705
6,body,1638
7,overall,1617
8,black,1578
9,white,1563
10,flavor,1521
11,great,1444
12,oak,1435
13,smooth,1417
14,little,1417
15,thick,1398
16,bitterness,1139
17,much,1067
18,dry,974
19,big,916
20,rich,901
21,full,841
22,hop,815
23,bitter,808
24,tropical,807
25,funk,773
26,thin,738
27,pour,694
28,complex,642
29,slight,642
30,fresh,627
31,pretty,621
32,soft,601
33,strong,597
34,ipa,577
35,excellent,569
36,moderate,567
37,mild,538
38,deep,537
39,heavy,528
40,amazing,527
41,perfect,525
42,front,502
43,huge,479
44,earthy,468
45,delicious,457
46,top,455
47,sticky,454
48,golden,447
49,yellow,436
50,bright,434
51,red,430
52,booze,419
53,floral,417
54,small,416
55,syrup,403
56,high,400
57,subtle,388
58,minimal,387
59,low,380
60,easy,369
61,fantastic,369
62,green,367
63,old,366
64,opaque,358
65,beautiful,353
66,solid,350
67,expected,341
68,sure,341
69,lingering,326
70,clear,326
71,worth,325
72,enough,320
73,drinkable,306
74,roasty,303
75,clean,303
76,toasted,296
77,favorite,287
78,crisp,285
79,ba,277
80,hoppy,276
81,wonderful,271
82,present,270
83,incredible,265
84,mocha,260
85,isnt,251
86,imperial,249
87,herbal,248
88,tap,245
89,enjoyable,241
90,acidic,241
91,stone,239
92,decent,237
93,intense,232
94,overly,229
95,viscous,228
96,many,227
97,pleasant,225
98,cant,224
99,awesome,218
100,sourness,218
101,bite,217
102,fine,213
103,last,210
104,ripe,210
105,want,209
106,hot,208
107,foamy,208
108,similar,207
109,burnt,205
110,outstanding,203
111,glad,201
112,hard,199
113,tree,198
114,chewy,194
115,frothy,190
116,double,190
117,new,189
118,bold,188
119,real,185
120,different,176
121,trillium,170
122,depth,167
123,candy,165
124,lambic,165
125,sharp,163
126,inch,163
127,wild,162
128,wasnt,161
129,grassy,161
130,dated,158
131,unique,157
132,middle,153
133,resinous,150
134,regular,149
135,porter,149
136,average,148
137,brandy,148
138,oaky,146
139,citrusy,146
140,liquid,143
141,wish,143
142,close,137
143,bad,135
144,bready,135
145,impressive,134
146,hidden,132
147,offwhite,131
148,flavorful,131
149,prominent,129
150,noticeable,128
151,musty,128
152,give,126
153,massive,125
154,typical,125
155,next,124
156,nutty,124
157,delicate,122
158,lactic,122
159,swallow,120
160,mellow,119
161,initial,119
162,large,119
163,second,117
164,hue,116
165,short,113
166,special,113
167,apricots,112
168,able,110
169,marshmallow,109
170,vinous,109
171,ill,108
172,sipper,107
173,toasty,106
174,cold,105
175,gentle,105
176,drying,104
177,original,104
178,whole,103
179,lactose,102
180,aggressive,102
181,pure,101
182,mixed,99
183,farmstead,99
184,fair,94
185,nectarine,94
186,american,92
187,tiny,92
188,robust,91
189,beige,90
190,ne,89
191,hf,89
192,due,88
193,bean,88
194,strawberry,88
195,belgian,88
196,mosaic,87
197,label,86
198,galaxy,86
199,added,84
200,pick,83
201,punch,83
202,bacon,82
203,exceptional,80
204,open,80
205,happy,80
206,phenomenal,79
207,goodness,78
208,acid,78
209,gueuze,77
210,pungent,76
211,integrated,75
212,spiciness,74
213,cacao,73
214,skin,73
215,guess,72
216,topped,72
217,fruitiness,72
218,superb,71
219,residual,71
220,visible,71
221,luscious,71
222,tangy,68
223,true,67
224,live,67
225,several,67
226,surprised,67
227,gorgeous,66
228,simple,66
229,single,65
230,available,65
231,cheese,65
232,harsh,64
233,semidry,64
234,late,64
235,reddish,64
236,dusty,63
237,raw,63
238,aromatic,63
239,yeasty,63
240,tannic,63
241,kick,62
242,flat,62
243,modest,62
244,slow,61
245,fuzzy,61
246,thank,59
247,quick,59
248,tall,59
249,dominant,58
250,variant,58
251,follow,58
252,underneath,58
253,absolute,57
254,tad,57
255,mediumfull,56
256,distinct,56
257,aspect,55
258,recent,55
259,peanut,55
260,heady,55
261,inky,55
262,firm,54
263,english,54
264,evident,53
265,smelled,53
266,ample,53
267,toast,52
268,adjunct,52
269,wont,52
270,mahogany,52
271,lord,51
272,shine,51
273,vibrant,51
274,nibs,49
275,help,49
276,powerful,49
277,havent,49
278,hues,48
279,usual,48
280,extra,48
281,natural,48
282,apparent,47
283,wrong,47
284,resiny,47
285,rocky,47
286,prairie,46
287,appreciate,46
288,acetic,46
289,lucky,45
290,tight,45
291,burst,45
292,crown,45
