words,frequency,rank
beer,5652,15
taste,3871,22
head,3837,23
pour,3714,24
chocolate,2916,29
dark,2900,30
flavor,2894,31
good,2707,32
like,2640,33
well,2636,34
sweet,2605,35
note,2446,37
fruit,2393,38
one,2352,39
finish,2269,40
coffee,2244,41
bourbon,2196,43
light,2174,44
aroma,2145,45
vanilla,2116,46
nice,2072,47
nose,2066,48
smell,1986,52
’,1949,53
bottle,1923,54
orange,1895,55
body,1859,57
malt,1839,58
medium,1801,61
carbonation,1777,62
barrel,1765,63
white,1708,64
bit,1679,65
black,1670,66
hop,1661,67
mouthfeel,1636,69
overall,1626,71
really,1563,75
get,1529,77
thick,1517,79
smooth,1503,80
oak,1500,81
feel,1487,82
great,1477,83
brown,1444,87
glass,1441,88
little,1419,89
color,1411,90
dry,1389,91
stout,1378,92
n't,1365,95
citrus,1301,98
lacing,1187,102
bitterness,1149,103
caramel,1146,104
creamy,1134,105
sweetness,1090,106
drink,1089,107
much,1072,108
hint,1048,109
lot,1036,110
sour,1028,111
full,995,112
big,989,113
look,985,114
maple,935,116
come,935,116
rich,925,118
``,917,119
hazy,903,120
grapefruit,898,122
finger,884,123
bitter,864,124
coconut,858,125
...,839,126
alcohol,838,127
tropical,838,127
thin,837,129
palate,835,130
balance,826,131
still,824,132
cherry,815,134
ipa,808,135
tart,801,136
funk,794,137
would,790,138
peach,785,139
follow,780,140
quite,772,141
almost,772,141
slightly,752,145
mango,752,145
pineapple,750,147
leave,748,148
try,748,148
make,732,152
time,730,153
oz,719,154
balanced,716,155
go,715,156
