,product_name,product_review,user_rating
0,Kentucky Brunch Brand Stout,"Long time waiting to tick this one, and I have to say - pretty underwhelmed. Its delicious as far as maple syrup goes, but overall it was lacking in complexity. Barrel was light and not much else. Nice mouth feel and long finish.",4.56
1,Kentucky Brunch Brand Stout,"This review is for the 2019 batch. It was bottle number 43, tasted as part of a dinner at Toppling Goliath. Poured as dinner was served, thick and almost black, allowed to warm and enjoyed as dessert. On the nose, bourbon and maple syrup. Thick mouth-feel, and full of flavor. I have had the 2020 version on tap, so comparing the two is difficult, however I think the 2019 aged nicely and was, in my opinion, the better of the two.",5.0
2,Kentucky Brunch Brand Stout,"Supreme maple OD! Soooo easy drinking & well-tasty. History in the making when finally scoring this one! (for the record, tried both 2019 and 2020 at the same time, the latter one being the best... I think)",5.0
3,Kentucky Brunch Brand Stout,"I have now had 4 different years of KBBS and continue to feel this beer is in a realm of its own. The look is as dark as burnt motor oil. The smell is filled with maple, coffee, bourbon, and stout. Outside of 2020 the taste is super sticky with a huge mouth feel.  I would say I rate 2018 as being the best year followed by 2019, then 2018, and I would rate 2020 last.",5.0
4,Kentucky Brunch Brand Stout,"2020 Bottle.  Absolutely bonkers Maple Syrup on the nose. Coffee opens up after a minute, but this beer straight up nails the syrup-soaked French Toast profile. Hate the small-format bottles.. wanted more!",5.0
5,Kentucky Brunch Brand Stout,"Some burnt sugar and a bit of licorice. Nice dark fruits, too. Flavor has plenty of sugar and malt sweetness. Lots of caramel, toffee, and maple syrup. Nice bourbon and vanilla, too. Good dark fruit character, cocoa powder, and decent coffee. Good stuff.",4.45
6,Kentucky Brunch Brand Stout,"Bottle @ Presidential Suite. Thanks, Adam. Redemption from Bully Guppy. Black pour with a finger of tan foam. Tons of bourbon, maple syrup, and vanilla. Nice coffee, cocoa powder, and toffee. Some burnt sugar and a bit of licorice. Nice dark fruits, too. Flavor has plenty of sugar and malt sweetness. Lots of caramel, toffee, and maple syrup. Nice bourbon and vanilla, too. Good dark fruit character, cocoa powder, and decent coffee. Good stuff.",4.15
7,Kentucky Brunch Brand Stout,"The look is great, and then it's downhill after that. This beer has so much coffee and sweet flavors that I cannot taste the stout....the beer aspect of it. It needs to be in another (new) category, because as a stout beer it really just isn't other than (maybe) it's color. Now, if those coffee, maple, bourbon, et al flavors came from the malt or wood, then bravo. But they didn't.",2.88
8,Kentucky Brunch Brand Stout,"This dark nectar poured like a heavenly scented motor oil into my glass. Its like someone took my morning coffee, maple syrup and best bourbon and combined them into this once in a lifetime treat. I could still smell the maple syrup days later from the EMPTY bottle sitting on my desk.",5.0
9,Kentucky Brunch Brand Stout,"Is this the best beer in the world, many would argue that is true. While trying on draft at Toppling Goliath, it’s hard to imagine the rich smooth sweet maple balanced by coffee could be all be pulled off the nose, staining the glass. And the flavor and taste to be met with fireworks from the grand finale.",5.0
10,Kentucky Brunch Brand Stout,"I had this for the first time in 2020. I was outside and it was cold and when this hit my lips, I drifted off to heaven. The hype is real with this one!!!",4.85
