Sr_No,Image_URL,Caption,Likes_in_1000,n_comments,Age,Labels,Anger,Joy,Surprise
0,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/242902013_370626847889463_3304488221847889379_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=yxQYBx_j00YAX8dUop3&edm=AAWvnRQBAAAA&ccb=7-4&oh=a15e5040250402edf37b8ea990944cdb&oe=615DF767&_nc_sid=e7738c,"As South Africa’s first Black rugby captain @siya_kolisi_the_bear, saw the possibilities of uniting all people through sport so that we can see the possibilities of a better future, together.

What possibilities do you see?

#ImpossibleIsNothing

Story narrated by Dee Koala (@dee_koala).",22k,356,1 week ago,Sky Neck Sleeve Grass T-shirt Sports uniform Player Beard Facial hair Competition event,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
1,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/242142109_551610362817035_5735273341744578528_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=iLLiSHGecs8AX8HHcv3&edm=AAWvnRQBAAAA&ccb=7-4&oh=ce81923483562089d95fe8bcd182a386&oe=615DE26E&_nc_sid=e7738c,"Mother. Daughter. Hooper. Leader.​

To some she’s Candace, to others she’s Ace. To all, she’s an inspiration.​

From prodigy to icon, @candaceparker has always worked to redefine what’s possible.​

#ImpossibleIsNothing",20k,530,2 weeks ago,Forehead Chin Eyebrow Facial expression Neck Flash photography Jaw Sleeve Gesture Cool,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/241880944_842834029740088_1413806053023059912_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=tS3Lu4EtD8cAX8-P31r&edm=AAWvnRQBAAAA&ccb=7-4&oh=0f227da846e2d75dd8b99f57c29eeabc&oe=61635490&_nc_sid=e7738c,"Records are made to be broken.

Today, Agnes Jebet Tirop of Kenya and Senbere Teferi of Ethiopia, went faster than ever before.

📍Herzogenaurach, adidas HQ
5k - 14m:29s, Senbere Teferi 
10k – 30m:01s, Agnes Jebet Tirop

#adizero #roadtorecords",37k,179,3 weeks ago,Shorts Thigh Sportswear Performing arts Athlete Entertainment Competition event Fan Recreation Human leg,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
3,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/241325111_281632806739647_5525325430213603198_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=CemIhBT8z3IAX_dkAn1&edm=AAWvnRQBAAAA&ccb=7-4&oh=fc20b3a4258c8fb26ecb2e5c8cecf852&oe=616300AF&_nc_sid=e7738c,Sport is for everyone.,144k,746,4 weeks ago,Sports uniform Shorts Shoe Active tank Active shorts Muscle White Track and field athletics Thigh Knee,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
4,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/240406078_206412254845124_3562123218205162422_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=MTRXXcSzlVIAX_QVhSU&edm=AAWvnRQBAAAA&ccb=7-4&oh=e747b9672fe5f2bfa8bc643d08b34ff7&oe=615D7E04&_nc_sid=e7738c,"&quot;She never saw what she could not, only what she could&quot;

Shoko Ota is redefining what it means to be an athlete. Because where some see a binary world of disabled or abled, she sees an opportunity to lead to greater acceptance for all.

#ImpossibleIsNothing",26k,17471,1 month ago,Smile Leg Shorts Thigh Waist Pink Sportswear Finger Happy Knee,VERY_UNLIKELY,VERY_LIKELY,VERY_UNLIKELY
5,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/240426923_198978192215672_9017380677755784044_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=He4SOz0y8BMAX84vZIv&edm=AAWvnRQBAAAA&ccb=7-4&oh=fa3f600455cf50659e79b9c1fef00687&oe=615E0FAA&_nc_sid=e7738c,"Members Week is officially live. ​

Unforgettable experiences, exclusive rewards and much more. ​

Are you in?

Download the adidas app or click the link in bio",35k,3029,1 month ago,Sky Sleeve Font Landscape Cumulus Meteorological phenomenon Smoke Magenta Horizon Graphics,None,None,None
6,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/233935772_4340014749391742_8461320851495640281_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=IAPNe15XO-AAX-W9Dgi&edm=AAWvnRQBAAAA&ccb=7-4&oh=4d1b331afb3060dbcc8bad77526cc97f&oe=61624BAA&_nc_sid=e7738c,See sport show a world of endless possibilities.,69k,889,1 month ago,Footwear Bicycle Sports equipment Helmet Tire Bicycles--Equipment and supplies Vehicle Bicycle helmet Bicycle wheel Wheel,None,None,None
7,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/234109806_117745767258060_3018130113978742841_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=OG176WyBSqIAX-Fd1is&edm=AAWvnRQBAAAA&ccb=7-4&oh=58f1e214235e50766e75e03f56e62f3d&oe=6162AF32&_nc_sid=e7738c,&quot;See all women win&quot; - Shaunae Miller-Uibo. @hey_itsshaunae sees a world where everyone gets an equal shot at greatness.,54k,798,1 month ago,Lip Eyebrow Active tank Flash photography Undershirt Eyelash Vest Wig Chest Sleeveless shirt,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
8,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/227582001_184505520398903_3372623961675472436_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=A6mfDHsYGRQAX_dmZFb&edm=AAWvnRQBAAAA&ccb=7-4&oh=515d05e80f10692f8912ccf035cbcd3f&oe=615E0CBE&_nc_sid=e7738c,"@monica_okoye sees strength in our differences and the possibility of sport to unite people of all backgrounds and abilities. 

#ImpossibleIsNothing",30k,871,2 months ago,Shorts Wood Flooring Floor Wood stain Hardwood Plank Varnish Leisure Laminate flooring,None,None,None
9,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/221772876_1531772393839212_7268594571377872426_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=PPCpWUfgFsMAX-piB_X&edm=AAWvnRQBAAAA&ccb=7-4&oh=b9e8c3598484757204ee40ef68090b67&oe=615D9EFC&_nc_sid=e7738c,"From the start, @abe_uta didnt accept gender stereotypes. She saw possibilities to rise above them. Now, she sees another: to be the strongest fighter in the world.
 
#ImpossibleIsNothing",35k,755,2 months ago,Nose Cheek Skin Head Lip Chin Eyebrow Mouth Eyelash Neck,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
10,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/211472826_233798395243912_6058035001708060847_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0CAZ04Daw3gAX91Pm8Q&edm=AAWvnRQBAAAA&ccb=7-4&oh=ca7a97ed23263fab5f033ffc8f345768&oe=615D9472&_nc_sid=e7738c,"Football is a team sport, and so is social change.

That’s why we’re teaming up with @commongoalorg pledging 1% of global net sales from Footballs to Common Goal until 2023, to help grow the movement that’s aiming to mobilize the whole football world to tackle our global challenges, using the power of Football to unite us in our differences and move our communities forward. 

Join the movement: adidas.com/footballcollective",24k,1033,2 months ago,White Jersey Sports jersey Sports gear Helmet Sleeve Font Sportswear Grey Motorcycle helmet,None,None,None
11,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/198826934_1846319458880915_3049771254261479109_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=xuTScbtuXQEAX8LG_9N&edm=AAWvnRQBAAAA&ccb=7-4&oh=3be707d1f172d3253d7d6ad830215bda&oe=615DA3FA&_nc_sid=e7738c,"Where some see a ball, we see possibilities for all. ​

In @euro2020 and beyond, we are committed to championing inclusivity and diversity in the beautiful game. Through our #adidasfootballcollective partners, we will use the power of football to create meaningful change and prove that our differences make us stronger.​

@lemonde_fc @fcinternationaleberlin @fcnotalone ​
​
#Soccer #Football #adidasFootball #adidasfootballcollective #ImpossibleIsNothing",42k,1347,3 months ago,Forehead Jaw Sleeve Flash photography Gesture Dress shirt Collar Formal wear Sky White-collar worker,None,None,None
12,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/199427818_523494028697757_2784688504462886622_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=ln0jCWwdKQIAX9ze-wM&edm=APU89FABAAAA&ccb=7-4&oh=5485fc7ad17b583f3b4d958b2bc7409c&oe=615DC7BC&_nc_sid=86f79a,"“We are the women who embrace the waters, immerse our entire bodies into the ocean. The waves glide over every inch of us never inquiring about our age, ethnicity, abilities, faiths, or the languages we speak to determine if we are worthy.”

With this poem, Asma Elbadawi @asmaelbadawi celebrates how water accepts everybody unconditionally, because we believe that sport belongs to all. 

New collection of adidas Swim performance wear, inclusive and sustainable launching on June 10th only on adidas.com.

--- 

Featuring — @asmaelbadawi  @dareen.barbar  @novliuba  @queen.owie  @teeinthedesert  @gisellefarahat @eno.ashry @shareasamuels @lubna.abdelaziz28 @lelylob",29k,585,3 months ago,Water Sky Flash photography Sleeve Happy Eyewear Electric blue Cap Landscape Travel,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
13,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/198316623_1697912507062079_3600916151867447841_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ywMbTT27DDMAX8CN7E9&edm=APU89FABAAAA&ccb=7-4&oh=861e475f1f633072915311f1ab3df0a5&oe=6161F487&_nc_sid=86f79a,"Today is a day to celebrate our oceans, but every day is an opportunity take care of them. 🌎🌊💙

Thank you to everyone who has laced up and #RunForTheOceans already. Today is the last day to show your commitment to #EndPlasticWaste so click the link in bio to join the challenge.

#adidasParley #WorldOceansDay #UNWorldOceansDay #WorldOceanDay",36k,297,3 months ago,Sky Water People on beach Cloud Beach People in nature Coastal and oceanic landforms Lake Travel Happy,None,None,None
14,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/192051185_144622377705410_2468983969358251595_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=32QE7_ilTDQAX-7osG-&edm=APU89FABAAAA&ccb=7-4&oh=f0e56c84afeb1f2e0c2f367179979f51&oe=615DFE49&_nc_sid=86f79a,"It’s Us vs. Plastic Waste - the time to Run For The Oceans is now.  
 
For every kilometer you run tracked in the app between now and June 8, adidas and @parley.tv will clean up the equivalent weight of 10 plastic bottles, up to 500,000 pounds from beaches and islands. Every km counts!
 
🌊 Start running through the link in bio 🌊

#RunForTheOceans #adidasparley",37k,777,4 months ago,Sky Cloud Natural landscape Tree Coastal and oceanic landforms Font Plain Landscape Cumulus Haze,None,None,None
15,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/188959676_183847173614598_1636336214843370879_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=pU61DmLuawsAX_y2cyV&edm=APU89FABAAAA&ccb=7-4&oh=e2c1b5e887171f51305edbe0384f7926&oe=615DCFBC&_nc_sid=86f79a,"Warm up runners, you are next!

#RunForTheOceans is back and bigger than ever. 

On May 28th, millions of runners across the globe will get ready to Run For The Oceans, helping to End Plastic Waste with every km run. Download the adidas Running app, join the challenge and get ready to make a difference!

Special thanks to the ever-growing Run For The Oceans squad featured here 👆
@marcelotwelve @ken_aye_ @reemy_rich119 @waydedreamer @original_ants @siya_kolisi_the_bear @domscottrunsa @denise_schindler @alishalehmann7 @mynameisjessamyn @leomessi @domithiem @laurawolvaardt @iamdamiangaza​  
🔗 Help save our oceans through the link in bio!

#adidasParley @parley.tv @adidasRuntastic",29k,1297,4 months ago,Water Water resources Atmosphere Liquid Flash photography Sky Happy Font Cloud Lake,None,None,None
