caption,n_likes_1000,n_comments,event,fac,gpe,law,loc,money,norp,org,person,product,work_of_art,personal_quote,quote
"As South Africa’s first Black rugby captain @siya_kolisi_the_bear, saw the possibilities of uniting all people through sport so that we can see the possibilities of a better future, together.

What possibilities do you see?

#ImpossibleIsNothing

Story narrated by Dee Koala (@dee_koala).",22k,356,0,0,1,0,0,0,0,0,1,0,0,0,0
"Mother. Daughter. Hooper. Leader.​

To some she’s Candace, to others she’s Ace. To all, she’s an inspiration.​

From prodigy to icon, @candaceparker has always worked to redefine what’s possible.​

#ImpossibleIsNothing",20k,530,0,0,0,0,0,0,0,2,0,0,0,0,0
"Records are made to be broken.

Today, Agnes Jebet Tirop of Kenya and Senbere Teferi of Ethiopia, went faster than ever before.

📍Herzogenaurach, adidas HQ
5k - 14m:29s, Senbere Teferi 
10k – 30m:01s, Agnes Jebet Tirop

#adizero #roadtorecords",37k,179,0,0,2,0,0,1,0,2,4,0,0,0,0
Sport is for everyone.,144k,746,0,0,0,0,0,0,0,0,0,0,0,0,0
"&quot;She never saw what she could not, only what she could&quot;

Shoko Ota is redefining what it means to be an athlete. Because where some see a binary world of disabled or abled, she sees an opportunity to lead to greater acceptance for all.

#ImpossibleIsNothing",26k,17471,0,0,0,0,0,0,0,0,0,0,0,0,0
"Members Week is officially live. ​

Unforgettable experiences, exclusive rewards and much more. ​

Are you in?

Download the adidas app or click the link in bio",35k,3029,0,0,0,0,0,0,0,0,0,0,0,0,0
See sport show a world of endless possibilities.,69k,889,0,0,0,0,0,0,0,0,0,0,0,0,0
&quot;See all women win&quot; - Shaunae Miller-Uibo. @hey_itsshaunae sees a world where everyone gets an equal shot at greatness.,54k,798,0,0,0,0,0,0,0,0,0,0,0,0,0
"@monica_okoye sees strength in our differences and the possibility of sport to unite people of all backgrounds and abilities. 

#ImpossibleIsNothing",30k,871,0,0,0,0,0,0,0,0,0,0,0,0,0
"From the start, @abe_uta didnt accept gender stereotypes. She saw possibilities to rise above them. Now, she sees another: to be the strongest fighter in the world.
 
#ImpossibleIsNothing",35k,755,0,0,0,0,0,0,0,1,0,0,0,0,0
"Football is a team sport, and so is social change.

That’s why we’re teaming up with @commongoalorg pledging 1% of global net sales from Footballs to Common Goal until 2023, to help grow the movement that’s aiming to mobilize the whole football world to tackle our global challenges, using the power of Football to unite us in our differences and move our communities forward. 

Join the movement: adidas.com/footballcollective",24k,1033,0,0,0,0,0,0,0,1,0,0,0,0,0
"Where some see a ball, we see possibilities for all. ​

In @euro2020 and beyond, we are committed to championing inclusivity and diversity in the beautiful game. Through our #adidasfootballcollective partners, we will use the power of football to create meaningful change and prove that our differences make us stronger.​

@lemonde_fc @fcinternationaleberlin @fcnotalone ​
​
#Soccer #Football #adidasFootball #adidasfootballcollective #ImpossibleIsNothing",42k,1347,0,0,0,0,0,1,0,1,1,0,0,0,0
"“We are the women who embrace the waters, immerse our entire bodies into the ocean. The waves glide over every inch of us never inquiring about our age, ethnicity, abilities, faiths, or the languages we speak to determine if we are worthy.”

With this poem, Asma Elbadawi @asmaelbadawi celebrates how water accepts everybody unconditionally, because we believe that sport belongs to all. 

New collection of adidas Swim performance wear, inclusive and sustainable launching on June 10th only on adidas.com.

--- 

Featuring — @asmaelbadawi  @dareen.barbar  @novliuba  @queen.owie  @teeinthedesert  @gisellefarahat @eno.ashry @shareasamuels @lubna.abdelaziz28 @lelylob",29k,585,0,0,0,0,0,0,0,0,1,0,0,0,1
"Today is a day to celebrate our oceans, but every day is an opportunity take care of them. 🌎🌊💙

Thank you to everyone who has laced up and #RunForTheOceans already. Today is the last day to show your commitment to #EndPlasticWaste so click the link in bio to join the challenge.

#adidasParley #WorldOceansDay #UNWorldOceansDay #WorldOceanDay",36k,297,0,0,0,0,0,1,0,0,0,0,0,0,0
"It’s Us vs. Plastic Waste - the time to Run For The Oceans is now.  
 
For every kilometer you run tracked in the app between now and June 8, adidas and @parley.tv will clean up the equivalent weight of 10 plastic bottles, up to 500,000 pounds from beaches and islands. Every km counts!
 
🌊 Start running through the link in bio 🌊

#RunForTheOceans #adidasparley",37k,777,0,0,1,0,0,0,1,0,0,0,0,0,0
"Warm up runners, you are next!

#RunForTheOceans is back and bigger than ever. 

On May 28th, millions of runners across the globe will get ready to Run For The Oceans, helping to End Plastic Waste with every km run. Download the adidas Running app, join the challenge and get ready to make a difference!

Special thanks to the ever-growing Run For The Oceans squad featured here 👆
@marcelotwelve @ken_aye_ @reemy_rich119 @waydedreamer @original_ants @siya_kolisi_the_bear @domscottrunsa @denise_schindler @alishalehmann7 @mynameisjessamyn @leomessi @domithiem @laurawolvaardt @iamdamiangaza​  
🔗 Help save our oceans through the link in bio!

#adidasParley @parley.tv @adidasRuntastic",29k,1297,0,0,0,0,0,0,3,0,1,0,0,0,0
"We saw the possibilities in turning plastic waste into opportunity. That what’s best for the athlete must be better for the planet. With products made to be remade and products made with nature, all people can see the possibilities too, in helping to end plastic waste, so we still have places to play.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Henry Golding (@henrygolding).",29k,566,0,0,0,0,0,0,0,0,1,0,0,0,0
"@tifannyabreu10 only saw possibilities. To be a Trans Woman. A professional athlete. And an inspiration—for all of us—to be whoever and whatever we want to be.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Urias (@uriasss).",28k,564,0,0,0,0,0,0,0,1,0,0,0,0,0
"@ninja saw the possibilities in change. That a gamer can be an athlete. And sport and minds can be changed, forever.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by JuJu Smith-Schuster (@juju).",33k,627,0,0,0,0,0,0,0,1,1,0,0,0,0
"With @allbirds, we saw the possibilities in competitors working as collaborators. 

Together, we are sharing ideas and resources to become carbon neutral. So everybody can see the possibilities in a partnership to protect the planet.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Finn Wolfhard (@finnwolfhardofficial).",29k,534,0,0,0,0,0,0,0,0,1,0,0,0,0
"FUTURECRAFT.FOOTPRINT: Made to fit the planet. Together with @allbirds, we measured every step of the process. From growing materials to end of life. Were not at zero, yet. But we are proving that collaboration will get us there faster. #ImpossibleIsNothing #Futurecraft #TreadLighter",25k,280,0,0,0,0,0,0,0,1,0,0,0,0,0
"FUTURECRAFT.FOOTPRINT is the lowest carbon emissions performance running shoe weve ever created. Every step measured to draw down every last gram of weight and carbon to 2.94 kg CO2e per pair.

Together with @allbirds, were proving that the hardest part of tackling climate change is facing the challenge head on and making a start. Well keep on, until every shoe, and every product, is made to fit the planet.

#ImpossibleIsNothing #Futurecraft #TreadLighter",54k,1934,0,0,0,0,0,1,0,1,0,0,0,0,0
"A year ago we saw the possibility to turn a competitor into a collaborator to accelerate our collective journey to carbon neutral. Today at 4PM CET were unveiling FUTURECRAFT.FOOTPRINT. Made to fit the planet with @allbirds. Its the first time in history we hope others beat our personal best sooner.

#ImpossibleIsNothing #Futurecraft #TreadLighter

Join the keynote event via the link in bio.",36k,269,0,0,0,0,0,2,0,1,0,0,0,0,0
"There’s no waiting for change. We see possibilities in standing with @layshiac, @chiney, @nnekaogwumike, @ecambage, @candaceparker, @mccoughtry, and @_bonnbonn, who use their platforms to demand justice.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Lena Waithe (@lenawaithe).",20k,280,0,0,0,0,0,0,0,7,1,0,0,0,0
"Turning @allbirds into colleagues has helped us go faster and further towards carbon neutral high-performance. And, were sharing our secrets. Because together we can make our footprint fit the planet sooner. #ImpossibleIsNothing #Futurecraft #TreadLighter

Join us: link in bio.",20k,276,0,0,0,0,0,1,0,0,0,0,0,0,0
"When @charlyncorral looked at the pitch, she saw possibilities to cut through defenders and judgment. So all people can see the possibilities to turn challenge into opportunity.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Marion Reimers (@lareimers).",22k,210,0,0,0,0,0,0,0,0,1,0,0,0,0
"@hima_mon_jai saw the possibilities in being the first Indian woman to win track and field gold, inspiring us to see our own possibilities.

What possibilities do you see?
#ImpossibleIsNothing",27k,250,0,0,0,0,0,0,1,0,0,0,0,0,0
"We never stop seeing the possibilities to go faster than ever before. It drives us to create our fastest running shoe. Ever. And then do it again.​

What possibilities do you see?​
#ImpossibleIsNothing​

Story narrated by @samhandy.",19k,166,0,0,0,0,0,0,0,0,1,0,0,0,0
"We saw the possibilities to do what’s never been done before. By turning thousands of footprint scans into the first 3D printed midsole, we are changing the future of sport. Forever.
 
What possibilities do you see?
#ImpossibleIsNothing
 
Story narrated by Iddris Sandu (@iddrisandu).",26k,402,0,0,0,0,0,0,0,1,0,0,0,0,0
"@avtrusova saw the possibilities in becoming the first woman to land three quads, inviting us all to see the possibilities in landing our own “firsts.”​

What possibilities do you see?​
#ImpossibleIsNothing​

Story narrated by Masha Komandnaya (@komandnaya).",23k,563,0,0,0,0,0,0,0,1,1,0,0,0,0
"@damianlillard only sees possibilities. By elevating the moment through his game and his voice, so we can all see the possibilities of turning Dame Time into our time. ​

What possibilities do you see?​
#ImpossibleIsNothing​

 ​Story narrated by Candace Parker (@candaceparker).",24k,291,0,0,0,0,0,0,0,1,1,0,0,0,0
"@mosalah saw the possibilities in changing minds by being himself. He stayed true to his game so that all people could see the possibilities of celebrating our differences, together.​

What possibilities do you see?​
#ImpossibleIsNothing​

Story narrated by Ramy Youssef (@ramy).",33k,277,0,0,0,0,0,0,0,2,1,0,0,0,0
"@cyrillgutsch sees possibilities in giving ocean plastics a new home. Where imagination meets collaboration. Where plastics are turned into products. And where we all see the possibilities too, in taking action to help end plastic waste.​

What possibilities do you see?​
#ImpossibleIsNothing​
#EarthDay",22k,280,0,0,0,0,0,0,0,1,0,0,0,0,0
"@beyonce saw the possibilities of inviting us all to find our voice. To use her platform as a stage to celebrate our differences, with all people. With you. Me. Them. Us.

What possibilities do you see? ​
#ImpossibleIsNothing​",58k,1274,0,0,1,0,0,0,0,1,0,0,0,0,0
"Meet Stan Smith Mylo. Featuring an upper that is partially created with Mylo material, a nature-based alternative to leather. Mylo is made with mycelium, the root-like structure of mushrooms, harnessing natural technologies, billions of years in the making, to shape the future of footwear.

Built With Biology 
Crafted With Humanity 
#MadeWithNature 

#EndPlasticWaste 
#StanSmithForever 
Thanks to @Mylo_Unleather​",66k,695,0,0,0,0,0,2,0,0,4,0,0,0,0
"Fast fact: Plastic waste is a mountain problem. It’s found everywhere from the steepest peaks to the deepest corners of our planet. But when the stakes are high, we don’t back down. Join trail runner Timothy Olson (@timothyallenolson) for a run and clean-up event that can bring us one step closer to healthy, waste-free ecosystems. Tune in and lace up—it’s time to climb 🗻  #EndPlasticWaste",30k,385,0,0,0,0,0,0,0,0,1,0,0,0,0
"Who inspires, encourages and motivates you? #InternationalWomensDay",77k,1708,0,0,0,0,0,0,0,0,0,0,0,0,0
"“If I can say one thing to women around the world, it’s to be fearless and create.” - @bee_alyssatrofort, North Carolina photographer 

Here’s to the international team of shot callers and shot takers who safely set the stage for our latest @adidasWomen campaign ‘Watch Us Move.’ 👉 Swipe to learn why they believe female representation is more important than ever. 

🔥 Bonus: Watch the film they created together on the final frame.

Featuring 
@mynameisjessamyn, body positive yoga expert, wellness entrepreneur and author 
@bee_alyssatrofort, North Carolina Photographer
@stefani_soho, Director
@carolinemackintosh, Berlin Photographer 
@tala_official, Composer
@sophographylondon, London Photographer",54k,795,0,0,5,0,0,0,0,2,0,0,1,0,0
"Building a bridge from the past to the future is the marker of Black excellence — here and now we champion Black resilience, grace, power, and vision for today and for tomorrow. 

Honoring Black Excellence is our initiative that celebrates the achievements of Black individuals, and Black culture as a whole. Throughout the year, we’ll spotlight honorees by sharing their stories on the platform you’ve given us. 

This is just the start of celebrating our Black Community. 

Learn more about Honoring Black Excellence at news.adidas.com

 #HonoringBlackExcellence",25k,511,0,0,0,0,0,0,1,1,2,0,0,0,0
