index,Frequency
justdoit,64
world,25
dream,18
woman,14
nike,14
crazy,14
play,13
like,13
find,13
see,12
never,10
win,10
first,10
make,9
inspire,9
athlete,9
change,9
tell,9
new,9
run,9
capture,9
step,8
believe,8
foot,8
sport,8
always,8
good,8
start,8
story,8
work,8
record,7
look,7
old,7
home,7
team,7
keep,7
let,7
get,7
lockdown,6
community,6
major,6
year,6
stop,6
prove,6
boxer,6
bio,6
finish,6
fight,6
2020,6
become,6
big,6
ever,6
link,6
great,6
mile,6
even,5
challenge,5
another,5
every,5
game,5
love,5
igtv,5
life,5
neymarjr,5
comment,5
full,5
give,5
quot,5
heart,5
marathon,5
today,5
stay,5
break,5
local,5
time,5
live,5
bring,5
title,5
tomorrow,4
family,4
say,4
football,4
rafaelnadal,4
history,4
number,4
line,4
chase,4
medal,4
walk,4
grow,4
boxing,4
gym,4
way,4
matter,4
girl,4
place,4
day,4
stand,4
stage,4
watch,4
player,4
set,4
belief,4
black,4
together,4
lot,4
thing,4
championship,4
away,4
hour,4
feel,4
champion,4
wear,4
london,4
barrier,4
zeina,4
city,4
runner,4
share,4
kipchogeeliud,3
mean,3
dive,3
click,3
kipchoge,3
kid,3
part,3
show,3
use,3
know,3
yesterday,3
ring,3
race,3
cortez,3
houston,3
winner,3
late,3
makena,3
instructor,3
early,3
rule,3
hypervenom,3
tag,3
people,3
crew,3
something,3
everything,3
bar,3
nothing,3
lose,3
power,3
eliud,3
future,3
everywhere,3
equality,3
since,3
mother,3
night,3
would,3
follow,3
self,3
back,3
forever,3
hijab,3
far,3
forget,3
introduce,3
high,3
quit,3
could,3
500,3
hard,3
create,3
kabul,3
fast,3
around,3
think,3
meet,3
everyone,3
series,2
tonight,2
possible,2
paris,2
level,2
remember,2
inspiration,2
bear,2
young,2
still,2
nomaybe,2
york,2
anyone,2
hoop,2
raise,2
fan,2
found,2
much,2
flamenco,2
afghan,2
match,2
harlem,2
viva,2
role,2
squad,2
close,2
member,2
write,2
collide,2
playfortheworld,2
past,2
really,2
debut,2
dedicate,2
changeme2012,2
ballet,2
court,2
help,2
excuse,2
catch,2
hand,2
inclusive,2
gold,2
guideline,2
blacksinballet,2
coach,2
nikerunning,2
field,2
soccer,2
baller,2
expectation,2
leave,2
ramla,2
dance,2
china,2
partner,2
abuelas,2
ingrid,2
lace,2
age,2
enjoy,2
pound,2
doubt,2
samanthakerr20,2
already,2
accordance,2
trophy,2
rogerfederer,2
knit,2
failure,2
swim,2
zoom,2
referee,2
amp,2
information,2
friend,2
jersey,2
talk,2
congrats,2
sign,2
forward,2
advantage,2
define,2
breaking2,2
seem,2
baltimore,2
anything,2
reason,2
join,2
must,2
across,2
center,2
yeah,2
visit,2
sisterhood,2
minute,2
without,2
pitch,2
feature,2
favorite,2
timer,2
small,2
allow,2
kendricklamar,2
wake,2
weekend,2
yoga,2
amount,2
jumpman23,2
flower,2
pro,2
pay,2
tough,2
alone,2
support,2
fly,2
nikewomen,2
basketball,2
underdog,2
continue,2
represent,2
top,2
sunset,2
brilliance,2
defend,2
kick,2
trail,2
real,2
outside,2
scream,2
learn,2
important,2
scuba,2
straight,2
health,2
practice,2
evgenia,2
safe,2
street,2
proof,2
true,2
clay,2
female,2
tight,2
shoulder,2
generation,2
teach,2
bet,2
professional,2
star,2
two,2
melbournes,1
surfing,1
tragedy,1
palsy,1
mvp,1
reality,1
yard,1
vocal,1
spirited,1
capable,1
deepen,1
rain,1
paddle,1
chalet,1
kenny,1
journey,1
4th,1
resident,1
mat,1
nassar,1
educate,1
book,1
weplayreal,1
exactly,1
saturday,1
nyc,1
sand,1
outplay,1
gspon,1
shy,1
hail,1
moment,1
opportunity,1
bennncareyyy,1
sam,1
superpower,1
nationalchampionship,1
b360baltimore,1
bay,1
youth,1
company,1
creed2,1
letter,1
condolence,1
affect,1
games,1
magic,1
youand,1
space,1
olympics,1
dozen,1
nymade,1
tribute,1
yasemin,1
dreams,1
village,1
19th,1
nigeria,1
german,1
manila,1
dreamer,1
well,1
evening,1
mercurial,1
club,1
wan,1
difference,1
nikecourt,1
someone,1
cerebral,1
bears,1
tinkering,1
kendrick,1
aspiration,1
busy,1
playinside,1
polite,1
deserve,1
hiking,1
ice,1
environment,1
pain,1
connect,1
legend,1
roxannefequiere,1
design,1
hype,1
yet,1
daunt,1
superhero,1
kieran,1
disability,1
commit,1
nikefootball,1
right,1
cristiano,1
planet,1
enough,1
cntknockbhustle,1
rafa,1
burn,1
expect,1
alosaimi,1
nocta,1
jordan,1
boot,1
routine,1
joy,1
2024,1
paula_radcliffe,1
thatbigguy700,1
nature,1
consistently,1
empower,1
syllable,1
front,1
shanghai,1
historic,1
skill,1
wish,1
goskateboardingday,1
attention,1
orizaba,1
weeknight,1
rewrote,1
perth,1
illegal,1
shaquem_griffin,1
somaliboxer,1
relax,1
audience,1
starting,1
smile,1
drakes,1
diamonds,1
profit,1
organization,1
ronaldo,1
cultural,1
folk,1
human,1
head,1
nikesverige,1
embody,1
huge,1
perform,1
update,1
200,1
