index,Frequency
nike,104
run,44
nikeplus,26
marathon,26
nikefuel,17
get,15
time,13
day,13
world,13
earn,13
runnwm,13
new,12
quot,12
fast,12
findgreatness,11
gyakusou,11
usnikefootball,10
start,10
chicago,10
game,9
make,8
year,8
like,7
collection,7
available,7
first,7
football,7
good,7
crew,7
back,7
know,7
today,7
training,7
berlin,7
sunday,7
every,7
sport,7
fuelcheck,6
nwm,6
meet,6
street,6
inspire,6
lebron,6
future,6
track,6
train,6
soccer,6
tour,6
greatness,6
well,6
week,6
fastisfaster,6
green,5
nfl,5
city,5
kingjame,5
full,5
zoom,5
set,5
thechance,5
basketball,5
mile,5
undercover,5
race,5
bring,5
air,5
work,5
pro,5
look,5
keepup,5
gameonworld,5
big,5
past,4
chance,4
finish,4
raise,4
force,4
play,4
nikefootball,4
give,4
gear,4
style,4
stop,4
athlete,4
second,4
share,4
win,4
san,4
francisco,4
weekend,4
makeitcount,4
light,4
vapor,4
see,4
never,4
night,4
team,4
could,4
womens,4
tomorrow,4
fuelband,4
hard,4
ready,4
special,4
edition,4
club,4
home,4
lunarglide,4
prepare,4
speed,4
ice,4
boot,3
always,3
explosiveness,3
pick,3
runner,3
getlacedup,3
paris,3
china,3
strong,3
find,3
personal,3
100,3
much,3
fly,3
way,3
mercurial,3
lebronx,3
next,3
global,3
opportunity,3
lf1,3
think,3
road,3
shoe,3
women,3
elite,3
say,3
put,3
rock,3
kingjames,3
lace,3
together,3
keepitcome,3
woman,3
measure,3
thank,3
pack,3
running,3
welcome,3
touch,3
tennis,3
tchter,3
another,3
design,3
great,3
lightweight,3
last,3
little,3
close,3
field,3
high,3
unbreakable,3
favorite,3
roll,3
2013,3
real,3
chris,2
150,2
tag,2
angeles,2
nothing,2
musicfestnw,2
test,2
perfect,2
distance,2
show,2
help,2
lady,2
across,2
sun,2
point,2
chicagos,2
nikesnowboarde,2
director,2
thousand,2
step,2
month,2
keep,2
fit,2
bears,2
connect,2
action,2
finisher,2
season,2
lunar,2
october,2
footballer,2
southbank,2
build,2
iphone,2
heat,2
serenawilliam,2
weather,2
competition,2
crowd,2
black,2
nikemfnw,2
select,2
beach,2
barcelonas,2
cover,2
scout,2
community,2
life,2
nikesb,2
kobesystem,2
length,2
creative,2
land,2
number,2
anywhere,2
hyperfuse,2
join,2
blanket,2
right,2
cristiano,2
bridge,2
hoop,2
windy,2
gs2squad,2
player,2
finalist,2
bra,2
tree,2
reward,2
ago,2
hour,2
search,2
2012,2
rider,2
minute,2
location,2
tonight,2
trainer,2
mfnw,2
beginning,2
ntc,2
racer,2
collaboration,2
kobe,2
necklace,2
record,2
two,2
natural,2
tiffany,2
focus,2
arrive,2
hill,2
japan,2
push,2
route,2
nikechicago,2
move,2
explosive,2
chase,2
holywood,2
four,2
top,2
history,2
line,2
diamond,2
jones,2
robinnyc,2
graviteam,2
class,2
spot,2
datum,2
flywire,2
amp,2
mind,2
change,2
need,2
strength,2
hit,2
traction,2
fitness,2
learn,2
coast,2
reach,2
celebrate,2
dancing,2
rise,2
ultra,2
count,2
workout,2
takahashi,2
stand,2
fuelhouse,2
body,2
engineer,1
south,1
summit,1
detachable,1
hudson,1
august,1
journey,1
instagram,1
million,1
define,1
ireland,1
optimal,1
basket,1
berg,1
njunior11,1
pavement,1
silhouette,1
reverse,1
neil,1
refresh,1
hole,1
hypershield,1
nyc,1
deliver,1
london,1
mcilroy,1
sleeve,1
gate,1
ussoccer,1
autzen,1
logo,1
berlins,1
smile,1
defense,1
send,1
anatomic,1
someone,1
ronaldo,1
mix,1
alabama,1
stage,1
technology,1
epic,1
construction,1
around,1
strategically,1
integration,1
five,1
service,1
ring,1
beijing,1
host,1
literally,1
