caption,n_likes_1000,n_comments,event,fac,gpe,law,loc,money,norp,org,person,product,work_of_art,personal_quote,quote
"“100% of myself is nothing compared to 1% of the team.” - @kipchogeeliud 
 
If marathon world-record holding, Olympic gold medalist Eliud Kipchoge believes in something, there’s probably something to it.
 
As runners, we’re all on the same team. Working toward the same goal. Not just to become better runners, but better versions of ourselves. 
 
Check @nikerunning for advice, insights and answers from elite athletes to first-time marathoners all season long.",290k,28175,0,0,0,0,0,0,0,0,1,0,0,1,0
"Meet @azusa25nigo, the founder of @skate_girls_snap. 🛹

Skate Girls Snap is a project that celebrates the diversity within Tokyo’s growing women’s skate scene. Through this project, Azusa is creating a more inclusive skate culture and inspiring the 
next generation of female skaters to be themselves.

Learn more about Skate Girls Snap and Azusa’s skate crew. Link in bio.

🎥: @nobu_arakawa @callumhasegawa",88k,66716,0,0,1,0,0,0,1,3,1,0,1,0,0
"It takes courage to take the first step 🏃. Just ask @azusa25nigo 🛹

When‍‍️ Azusa‍️ was‍️ 29,‍️ she‍ started‍ skateboarding.‍ And‍ when‍ she‍ noticed Tokyo’s‍️ female‍ skate‍‍️ scene‍️ lacked‍️ representation, she decided to‍️create‍️ it‍️ herself.‍️That’s‍ how‍ she‍️ founded‍‍️ @skate_girls_snap, a project that celebrates femle skaters in Tokyo.

Whether it’s embarking on a creative project, trying out a new trick, or even stepping on board for the first time—Azusa is showing women that in order to get somewhere, you just have to start.

Learn‍ more‍️ about Skate Girls‍️ Snap‍️ and‍ Azusa’s‍️ skate‍️ community.‍️ Link‍️ in‍️ bio.

📸: @photoby217",243k,46306,0,0,2,0,0,0,1,3,0,0,1,0,0
"“The climate crisis is affecting my sport and athletes all over the world. Real snow has become a luxury. We need to use our voices and work together to make change happen.” 
 
Olympic gold medalist @chloekim knows that climate change affects the future of snowboarding. As temperatures and snowfall change, so will access to winter sports. 
 
Doing our research and raising our collective voice is the first step to doing our part to contribute to climate action. Click the link in our bio to learn more about how we can raise our collective voice to help protect the places we love.",159k,87011,0,0,0,0,0,0,0,0,1,0,0,0,1
"“People like to tell us what we can and can’t do, but we ain’t hearing that. Real Hot Girls know no one can define us, but us.” — @theestallion 😛
 
Megan Thee Stallion conquers any stage she touches, and so can you. Thee Hot Girl coach wants all the Hotties worldwide to know not every athlete is built the same. And sport is whatever you make it. 🔥🔥🔥
 
Hit the link in bio to learn more about Meg’s sport journey.

🎥: @mikecarson",252k,67646,0,0,0,0,0,0,0,3,0,0,0,1,0
"“I just see everything we can achieve, if we all share the biggest stage together” - @bebe_vio 

1960 Rome. All eyes are on the biggest event, where fencing is taking the big stage at The Palazzo Dei Congressi. Fast forward to 2021. Gold-winning wheelchair fencer Bebe Vio doesn’t see two worlds. Two competitions. She just sees one event with everyone on the big stage. Because sport doesn’t belong to a chosen few, it belongs to anyone who chooses to play. ⚽🎾🏀🤺💫",138k,15615,0,0,0,0,0,0,0,0,1,0,0,1,0
"“I would be wasting my life if I wasn’t using my platform to change the negative perceptions around disability.”
 
With 14 major titles, Paralympic medals, a book, radio show, music festival, and foundation all to his name, Aussie @dylanalcott isn’t just the best wheelchair tennis player in the world. He’s an absolute legend.
 
Check out Dylan’s inspiring one-on-one with junior world champ, Ben Bartram. Link in bio.",129k,17827,0,0,1,0,0,0,0,0,3,0,0,0,1
"Brilliance knows no barriers.

@tatyanamcfaddenusa is proving she’s more than just a runner.

When we Play New, we can’t be stopped.",113k,44402,0,0,0,0,0,0,0,1,0,0,0,0,0
"“If things don’t work one way, try another. Don’t assume it’s impossible.” 

Gymnast @alexa.morenomx is vaulting to the top of Mexico’s most loved athlete list. When it comes to being a role-model for a new generation of girls, she sticks the landing every time.🔥",190k,28679,0,0,1,0,0,0,0,0,0,0,0,0,1
"Greatness starts with a goal.

@cristiano has just scored his record-breaking 110th 🇵🇹 goal, making him the top international men’s goal scorer of all time. 

His desire to be the greatest to play the game has continually driven him and football to new heights. This is more than just another goal scored - this is another goal achieved.

What goal are you working towards every day? Big or small, let us know in the comments below.",304k,10807,0,0,1,0,0,0,0,0,0,0,0,0,0
"Smooth seas don’t make good sailors ⛵

Chrisanki Flood has been sailing the chaotic seas of the Caribbean for more than half of his life. Throughout his career, he’s not only had to navigate unpredictable weather patterns, he’s had to overcome the financial and racial barriers that come with this predominantly white sport. But when the Saint Lucia native is out at sea, he’s able to relax and live his purpose. It’s this unrelenting connection to the water, as well as the support from the tight-knit group of professional sailors on the island, that give him the discipline to keep training. 

What sport helps you connect with nature?

✍️: @jiyapinder 
📸: @nattykiii",269k,3455,0,0,0,0,1,0,0,1,0,0,0,0,0
