,img_url,caption,n_likes_1000,n_comments,age
0,https://scontent-arn2-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242902013_370626847889463_3304488221847889379_n.jpg?_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=1Ad31QHEjfAAX-TaFYA&edm=AAWvnRQBAAAA&ccb=7-4&oh=359999b9b77d6c094eae94c2004d41cb&oe=615808A7&_nc_sid=e7738c,"As South Africa’s first Black rugby captain @siya_kolisi_the_bear, saw the possibilities of uniting all people through sport so that we can see the possibilities of a better future, together.

What possibilities do you see?

#ImpossibleIsNothing

Story narrated by Dee Koala (@dee_koala).",22k,310,5 days ago
1,https://scontent-arn2-1.cdninstagram.com/v/t51.2885-15/e35/242142109_551610362817035_5735273341744578528_n.jpg?_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=K3AD-7itFwkAX-jiGHN&edm=AAWvnRQBAAAA&ccb=7-4&oh=6613656d713aaa3b131424100b7f7dc7&oe=6157F3AE&_nc_sid=e7738c,"Mother. Daughter. Hooper. Leader.​

To some she’s Candace, to others she’s Ace. To all, she’s an inspiration.​

From prodigy to icon, @candaceparker has always worked to redefine what’s possible.​

#ImpossibleIsNothing",20k,524,2 weeks ago
2,https://scontent-arn2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/241880944_842834029740088_1413806053023059912_n.jpg?_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=x-QM1KQyc5gAX_-Udnm&edm=AAWvnRQBAAAA&ccb=7-4&oh=20365caa613f7b388aacc1ea57abf445&oe=615B6B90&_nc_sid=e7738c,"Records are made to be broken.

Today, Agnes Jebet Tirop of Kenya and Senbere Teferi of Ethiopia, went faster than ever before.

📍Herzogenaurach, adidas HQ
5k - 14m:29s, Senbere Teferi 
10k – 30m:01s, Agnes Jebet Tirop

#adizero #roadtorecords",37k,172,2 weeks ago
3,https://scontent-arn2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/241325111_281632806739647_5525325430213603198_n.jpg?_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=OxaRpaUTZrgAX8G8P3n&edm=AAWvnRQBAAAA&ccb=7-4&oh=c2ef5a30bf8af5dd8d860823e0333ae0&oe=615D11EF&_nc_sid=e7738c,Sport is for everyone.,144k,741,3 weeks ago
4,https://scontent-arn2-2.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/240406078_206412254845124_3562123218205162422_n.jpg?_nc_ht=scontent-arn2-2.cdninstagram.com&_nc_cat=108&_nc_ohc=AKnl0S2wBcUAX85B8e7&edm=AAWvnRQBAAAA&ccb=7-4&oh=9022b5fbcfa42947933e5b1cb90693c8&oe=61578F44&_nc_sid=e7738c,"&quot;She never saw what she could not, only what she could&quot;

Shoko Ota is redefining what it means to be an athlete. Because where some see a binary world of disabled or abled, she sees an opportunity to lead to greater acceptance for all.

#ImpossibleIsNothing",26k,17468,1 month ago
5,https://scontent-arn2-2.cdninstagram.com/v/t51.2885-15/e35/240426923_198978192215672_9017380677755784044_n.jpg?_nc_ht=scontent-arn2-2.cdninstagram.com&_nc_cat=108&_nc_ohc=YGzO63f2oFEAX9yo9pm&edm=AAWvnRQBAAAA&ccb=7-4&oh=393f6e337888139cd306cc82ad979f4d&oe=6157782A&_nc_sid=e7738c,"Members Week is officially live. ​

Unforgettable experiences, exclusive rewards and much more. ​

Are you in?

Download the adidas app or click the link in bio",35k,3025,1 month ago
6,https://scontent-arn2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/233935772_4340014749391742_8461320851495640281_n.jpg?_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=4brzBgb7BbkAX-tMK2p&edm=AAWvnRQBAAAA&ccb=7-4&oh=21c9d9baf385cd454e1afb7d0b81b56c&oe=615C5CEA&_nc_sid=e7738c,See sport show a world of endless possibilities.,69k,885,1 month ago
7,https://scontent-arn2-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/234109806_117745767258060_3018130113978742841_n.jpg?_nc_ht=scontent-arn2-2.cdninstagram.com&_nc_cat=100&_nc_ohc=QPIIy0vKmSgAX_eNMKI&edm=AAWvnRQBAAAA&ccb=7-4&oh=35232f2a10739bec48baa189894b1237&oe=615CC072&_nc_sid=e7738c,&quot;See all women win&quot; - Shaunae Miller-Uibo. @hey_itsshaunae sees a world where everyone gets an equal shot at greatness.,54k,793,1 month ago
8,https://scontent-arn2-1.cdninstagram.com/v/t51.2885-15/e35/227582001_184505520398903_3372623961675472436_n.jpg?_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=1eYPaOP_v0IAX_j_1eb&edm=AAWvnRQBAAAA&ccb=7-4&oh=9b18d0131e293fba11e5875c36cf0386&oe=6157753E&_nc_sid=e7738c,"@monica_okoye sees strength in our differences and the possibility of sport to unite people of all backgrounds and abilities. 

#ImpossibleIsNothing",30k,867,2 months ago
9,https://scontent-arn2-2.cdninstagram.com/v/t51.2885-15/e35/221772876_1531772393839212_7268594571377872426_n.jpg?_nc_ht=scontent-arn2-2.cdninstagram.com&_nc_cat=100&_nc_ohc=FGZDEDdOOrUAX_-fHdr&edm=AAWvnRQBAAAA&ccb=7-4&oh=ed0c3ef24b44f13694ca1c6e58b8733d&oe=6157B03C&_nc_sid=e7738c,"From the start, @abe_uta didnt accept gender stereotypes. She saw possibilities to rise above them. Now, she sees another: to be the strongest fighter in the world.
 
#ImpossibleIsNothing",35k,752,2 months ago
10,https://scontent-arn2-1.cdninstagram.com/v/t51.2885-15/e35/211472826_233798395243912_6058035001708060847_n.jpg?_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=t8Mj3SKwLMIAX_9aEq2&edm=AAWvnRQBAAAA&ccb=7-4&oh=760ff5558c19d9a7f1dfff5a85da3f10&oe=6157A5B2&_nc_sid=e7738c,"Football is a team sport, and so is social change.

That’s why we’re teaming up with @commongoalorg pledging 1% of global net sales from Footballs to Common Goal until 2023, to help grow the movement that’s aiming to mobilize the whole football world to tackle our global challenges, using the power of Football to unite us in our differences and move our communities forward. 

Join the movement: adidas.com/footballcollective",24k,1032,2 months ago
11,https://scontent-arn2-1.cdninstagram.com/v/t51.2885-15/e35/198826934_1846319458880915_3049771254261479109_n.jpg?_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=at5MMmOH58EAX_kyXEa&edm=AAWvnRQBAAAA&ccb=7-4&oh=24b30951fb5b343867ea817370b879bc&oe=6157B53A&_nc_sid=e7738c,"Where some see a ball, we see possibilities for all. ​

In @euro2020 and beyond, we are committed to championing inclusivity and diversity in the beautiful game. Through our #adidasfootballcollective partners, we will use the power of football to create meaningful change and prove that our differences make us stronger.​

@lemonde_fc @fcinternationaleberlin @fcnotalone ​
​
#Soccer #Football #adidasFootball #adidasfootballcollective #ImpossibleIsNothing",42k,1347,3 months ago
12,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/199427818_523494028697757_2784688504462886622_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=AyvPDQwZ9OkAX-AAJUZ&edm=APU89FABAAAA&ccb=7-4&oh=6f9eb03704ccaa4fa432a387948d8600&oe=615881BC&_nc_sid=86f79a,"“We are the women who embrace the waters, immerse our entire bodies into the ocean. The waves glide over every inch of us never inquiring about our age, ethnicity, abilities, faiths, or the languages we speak to determine if we are worthy.”

With this poem, Asma Elbadawi @asmaelbadawi celebrates how water accepts everybody unconditionally, because we believe that sport belongs to all. 

New collection of adidas Swim performance wear, inclusive and sustainable launching on June 10th only on adidas.com.

--- 

Featuring — @asmaelbadawi  @dareen.barbar  @novliuba  @queen.owie  @teeinthedesert  @gisellefarahat @eno.ashry @shareasamuels @lubna.abdelaziz28 @lelylob",29k,584,3 months ago
13,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/198316623_1697912507062079_3600916151867447841_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Yxwec80YsgUAX8OXrWt&edm=APU89FABAAAA&ccb=7-4&oh=b857dcd4063148a6611beb8e25b64fa2&oe=615E0007&_nc_sid=86f79a,"Today is a day to celebrate our oceans, but every day is an opportunity take care of them. 🌎🌊💙

Thank you to everyone who has laced up and #RunForTheOceans already. Today is the last day to show your commitment to #EndPlasticWaste so click the link in bio to join the challenge.

#adidasParley #WorldOceansDay #UNWorldOceansDay #WorldOceanDay",36k,296,3 months ago
14,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/192051185_144622377705410_2468983969358251595_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=HYMJaEX7X_wAX83s1vi&edm=APU89FABAAAA&ccb=7-4&oh=a79c53c11ee507960a0785caea47b80e&oe=6158B849&_nc_sid=86f79a,"It’s Us vs. Plastic Waste - the time to Run For The Oceans is now.  
 
For every kilometer you run tracked in the app between now and June 8, adidas and @parley.tv will clean up the equivalent weight of 10 plastic bottles, up to 500,000 pounds from beaches and islands. Every km counts!
 
🌊 Start running through the link in bio 🌊

#RunForTheOceans #adidasparley",37k,777,4 months ago
15,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/188959676_183847173614598_1636336214843370879_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=778QZrtPGRMAX88IKg-&edm=APU89FABAAAA&ccb=7-4&oh=6d31d19a4c7d60bd803115b97dcd4cf2&oe=615889BC&_nc_sid=86f79a,"Warm up runners, you are next!

#RunForTheOceans is back and bigger than ever. 

On May 28th, millions of runners across the globe will get ready to Run For The Oceans, helping to End Plastic Waste with every km run. Download the adidas Running app, join the challenge and get ready to make a difference!

Special thanks to the ever-growing Run For The Oceans squad featured here 👆
@marcelotwelve @ken_aye_ @reemy_rich119 @waydedreamer @original_ants @siya_kolisi_the_bear @domscottrunsa @denise_schindler @alishalehmann7 @mynameisjessamyn @leomessi @domithiem @laurawolvaardt @iamdamiangaza​  
🔗 Help save our oceans through the link in bio!

#adidasParley @parley.tv @adidasRuntastic",29k,1297,4 months ago
16,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/186845922_470293154266931_7729184411217932565_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=r-4-DOI7ZsUAX_cKgf1&edm=APU89FABAAAA&ccb=7-4&oh=9f5a962ad0e1cf8bb3f182911d3dc75b&oe=61585826&_nc_sid=86f79a,"We saw the possibilities in turning plastic waste into opportunity. That what’s best for the athlete must be better for the planet. With products made to be remade and products made with nature, all people can see the possibilities too, in helping to end plastic waste, so we still have places to play.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Henry Golding (@henrygolding).",29k,566,4 months ago
17,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/187671658_377283150275294_4084275499604603779_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=us5F0y6Sq7kAX9c-Elv&edm=APU89FABAAAA&ccb=7-4&oh=3c2e2d4e413840dcfe0eefda8f1e781b&oe=6158B45F&_nc_sid=86f79a,"@tifannyabreu10 only saw possibilities. To be a Trans Woman. A professional athlete. And an inspiration—for all of us—to be whoever and whatever we want to be.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Urias (@uriasss).",28k,563,4 months ago
18,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/185890896_1118652585312697_4323797516334580112_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=S0Ze9EUGlmIAX-Z0NRX&edm=APU89FABAAAA&ccb=7-4&oh=bcde381574e37ffe45eed9f34061c883&oe=61586948&_nc_sid=86f79a,"@ninja saw the possibilities in change. That a gamer can be an athlete. And sport and minds can be changed, forever.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by JuJu Smith-Schuster (@juju).",33k,626,4 months ago
19,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/186316914_467818884286983_7319585858303646100_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=KhtC1o2KSOwAX_jlbq0&edm=APU89FABAAAA&ccb=7-4&oh=ca8c42e81018ce0a31224724fbc5dbbd&oe=61582BFC&_nc_sid=86f79a,"With @allbirds, we saw the possibilities in competitors working as collaborators. 

Together, we are sharing ideas and resources to become carbon neutral. So everybody can see the possibilities in a partnership to protect the planet.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Finn Wolfhard (@finnwolfhardofficial).",29k,533,4 months ago
20,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/185741025_3045934575623912_8158901633905253997_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=S5fvnI-_nIkAX8rMHJ3&edm=APU89FABAAAA&ccb=7-4&oh=9e76d19b069840ebdbb4488788ee4216&oe=6158819C&_nc_sid=86f79a,"FUTURECRAFT.FOOTPRINT: Made to fit the planet. Together with @allbirds, we measured every step of the process. From growing materials to end of life. Were not at zero, yet. But we are proving that collaboration will get us there faster. #ImpossibleIsNothing #Futurecraft #TreadLighter",25k,279,4 months ago
21,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/185851254_416880099667885_7160291424369417353_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=Tqveil_Cj0QAX-INE31&edm=APU89FABAAAA&ccb=7-4&oh=9bd628fdc516af442f9f042fb23eff0a&oe=615CCA1F&_nc_sid=86f79a,"FUTURECRAFT.FOOTPRINT is the lowest carbon emissions performance running shoe weve ever created. Every step measured to draw down every last gram of weight and carbon to 2.94 kg CO2e per pair.

Together with @allbirds, were proving that the hardest part of tackling climate change is facing the challenge head on and making a start. Well keep on, until every shoe, and every product, is made to fit the planet.

#ImpossibleIsNothing #Futurecraft #TreadLighter",53k,1929,4 months ago
22,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/185791053_480725962980218_1266613839463705486_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=eebJrgU2CooAX9eKhuL&edm=APU89FABAAAA&ccb=7-4&oh=875adfbc9f48ce29d8bc507cd5ba8334&oe=615DEF88&_nc_sid=86f79a,"A year ago we saw the possibility to turn a competitor into a collaborator to accelerate our collective journey to carbon neutral. Today at 4PM CET were unveiling FUTURECRAFT.FOOTPRINT. Made to fit the planet with @allbirds. Its the first time in history we hope others beat our personal best sooner.

#ImpossibleIsNothing #Futurecraft #TreadLighter

Join the keynote event via the link in bio.",36k,268,4 months ago
23,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/184878541_1193968494354826_5256123424387902864_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=l01FThu3_lQAX8G8OIY&edm=APU89FABAAAA&ccb=7-4&oh=e3d31ef8f751b8571dd9a73e810bd8b8&oe=61586F25&_nc_sid=86f79a,"There’s no waiting for change. We see possibilities in standing with @layshiac, @chiney, @nnekaogwumike, @ecambage, @candaceparker, @mccoughtry, and @_bonnbonn, who use their platforms to demand justice.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Lena Waithe (@lenawaithe).",20k,279,4 months ago
24,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/183843832_111056777717145_1617895838320502142_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=W1jbjQVkP5sAX8sjUcp&edm=APU89FABAAAA&ccb=7-4&oh=5623c5c8422a11f0282a5e4347992b93&oe=61583329&_nc_sid=86f79a,"Turning @allbirds into colleagues has helped us go faster and further towards carbon neutral high-performance. And, were sharing our secrets. Because together we can make our footprint fit the planet sooner. #ImpossibleIsNothing #Futurecraft #TreadLighter

Join us: link in bio.",20k,276,4 months ago
25,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/183369562_1455091184831962_4012182633630898291_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=42aL4C59vDgAX9GIPhT&edm=APU89FABAAAA&ccb=7-4&oh=1e7285042ef7156db932f7ee79207a88&oe=61588827&_nc_sid=86f79a,"When @charlyncorral looked at the pitch, she saw possibilities to cut through defenders and judgment. So all people can see the possibilities to turn challenge into opportunity.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Marion Reimers (@lareimers).",22k,209,4 months ago
26,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/182320207_512242219791226_2841422506220447119_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=gzeTfED5-j8AX_RlFlY&edm=APU89FABAAAA&ccb=7-4&oh=a12fc3cf4bda1eb4c9b6997a6a5ffed6&oe=61582402&_nc_sid=86f79a,"@hima_mon_jai saw the possibilities in being the first Indian woman to win track and field gold, inspiring us to see our own possibilities.

What possibilities do you see?
#ImpossibleIsNothing",27k,245,4 months ago
27,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/181971852_494724085048749_4054614867149972752_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=nPzsvcaQCI0AX98clH3&edm=APU89FABAAAA&ccb=7-4&oh=df0e77acb7bc6f27c716da58aad1bb8c&oe=61582559&_nc_sid=86f79a,"We never stop seeing the possibilities to go faster than ever before. It drives us to create our fastest running shoe. Ever. And then do it again.​

What possibilities do you see?​
#ImpossibleIsNothing​

Story narrated by @samhandy.",19k,164,4 months ago
28,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/181188942_771318063569774_9190489780566385491_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=qBkhK9gZ0pYAX_BmtoO&edm=APU89FABAAAA&ccb=7-4&oh=0d1ca838313d9edae0331a65faa93023&oe=615843EF&_nc_sid=86f79a,"We saw the possibilities to do what’s never been done before. By turning thousands of footprint scans into the first 3D printed midsole, we are changing the future of sport. Forever.
 
What possibilities do you see?
#ImpossibleIsNothing
 
Story narrated by Iddris Sandu (@iddrisandu).",26k,402,4 months ago
29,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/178924568_473647777168864_6128235260044605581_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=eFpMSdKUjn4AX-FXGLl&edm=APU89FABAAAA&ccb=7-4&oh=e454b28d9f878f1fb67e30423270a2d2&oe=61584A86&_nc_sid=86f79a,"@avtrusova saw the possibilities in becoming the first woman to land three quads, inviting us all to see the possibilities in landing our own “firsts.”​

What possibilities do you see?​
#ImpossibleIsNothing​

Story narrated by Masha Komandnaya (@komandnaya).",23k,563,5 months ago
30,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/178427575_212374630325665_2633587346777926050_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=JHByCwC7iAgAX89Q7Lc&edm=APU89FABAAAA&ccb=7-4&oh=3387e0b4d677f95ccf2538b8b227060f&oe=61588890&_nc_sid=86f79a,"@damianlillard only sees possibilities. By elevating the moment through his game and his voice, so we can all see the possibilities of turning Dame Time into our time. ​

What possibilities do you see?​
#ImpossibleIsNothing​

 ​Story narrated by Candace Parker (@candaceparker).",24k,290,5 months ago
31,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/176806097_159762522631532_6936565013375893445_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=1iPH-K7anggAX8zyrUq&edm=APU89FABAAAA&ccb=7-4&oh=044f8718be8beb0ede19cedcb6ffe9ad&oe=6158A7D6&_nc_sid=86f79a,"@mosalah saw the possibilities in changing minds by being himself. He stayed true to his game so that all people could see the possibilities of celebrating our differences, together.​

What possibilities do you see?​
#ImpossibleIsNothing​

Story narrated by Ramy Youssef (@ramy).",33k,277,5 months ago
32,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/176801508_3693087534153774_1863482893452765459_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=O5nY6MOsFGwAX9PFuEN&edm=APU89FABAAAA&ccb=7-4&oh=8eef6dff3dc832acc7353ef74bbd88ba&oe=6158A454&_nc_sid=86f79a,"@cyrillgutsch sees possibilities in giving ocean plastics a new home. Where imagination meets collaboration. Where plastics are turned into products. And where we all see the possibilities too, in taking action to help end plastic waste.​

What possibilities do you see?​
#ImpossibleIsNothing​
#EarthDay",22k,280,5 months ago
