,img_url,caption,n_likes_1000,n_comments,age
0,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/243564933_1055630235230900_8154432272515486391_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=rLIoelJuYqIAX8mj9YM&edm=AAWvnRQBAAAA&ccb=7-4&oh=ab60f1c12002cf8464227d1d51cce1fd&oe=615CE786&_nc_sid=e7738c,"“100% of myself is nothing compared to 1% of the team.” - @kipchogeeliud 
 
If marathon world-record holding, Olympic gold medalist Eliud Kipchoge believes in something, there’s probably something to it.
 
As runners, we’re all on the same team. Working toward the same goal. Not just to become better runners, but better versions of ourselves. 
 
Check @nikerunning for advice, insights and answers from elite athletes to first-time marathoners all season long.",218k,9590,1 day ago
1,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/242987639_391973482457075_8082023619889116750_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=49LClQCO_pUAX-WGc3M&edm=AAWvnRQBAAAA&ccb=7-4&oh=42489ef51c76d3860ea45ae41b9fb429&oe=61586DAE&_nc_sid=e7738c,"Meet @azusa25nigo, the founder of @skate_girls_snap. 🛹

Skate Girls Snap is a project that celebrates the diversity within Tokyo’s growing women’s skate scene. Through this project, Azusa is creating a more inclusive skate culture and inspiring the 
next generation of female skaters to be themselves.

Learn more about Skate Girls Snap and Azusa’s skate crew. Link in bio.

🎥: @nobu_arakawa @callumhasegawa",77k,62680,2 days ago
2,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/243056513_105154028536806_3717902680743783568_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=9xGTPex9W0UAX9x7nbE&edm=AAWvnRQBAAAA&ccb=7-4&oh=537f501c2b0beb588107e9cac1a9730e&oe=615C705B&_nc_sid=e7738c,"It takes courage to take the first step 🏃. Just ask @azusa25nigo 🛹

When‍‍️ Azusa‍️ was‍️ 29,‍️ she‍ started‍ skateboarding.‍ And‍ when‍ she‍ noticed Tokyo’s‍️ female‍ skate‍‍️ scene‍️ lacked‍️ representation, she decided to‍️create‍️ it‍️ herself.‍️That’s‍ how‍ she‍️ founded‍‍️ @skate_girls_snap, a project that celebrates femle skaters in Tokyo.

Whether it’s embarking on a creative project, trying out a new trick, or even stepping on board for the first time—Azusa is showing women that in order to get somewhere, you just have to start.

Learn‍ more‍️ about Skate Girls‍️ Snap‍️ and‍ Azusa’s‍️ skate‍️ community.‍️ Link‍️ in‍️ bio.

📸: @photoby217",232k,46169,2 days ago
3,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/242624074_379460673834971_7334147969325767122_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=0dJpVUZP7pQAX-xbyx6&edm=AAWvnRQBAAAA&ccb=7-4&oh=f55ebfa39c38c23cec31689a6715f47c&oe=61586396&_nc_sid=e7738c,"“The climate crisis is affecting my sport and athletes all over the world. Real snow has become a luxury. We need to use our voices and work together to make change happen.” 
 
Olympic gold medalist @chloekim knows that climate change affects the future of snowboarding. As temperatures and snowfall change, so will access to winter sports. 
 
Doing our research and raising our collective voice is the first step to doing our part to contribute to climate action. Click the link in our bio to learn more about how we can raise our collective voice to help protect the places we love.",158k,86967,6 days ago
4,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/242508430_2876698145975843_802051358408845362_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=81v71sxSe0MAX82xqFd&edm=AAWvnRQBAAAA&ccb=7-4&oh=5cd8253d66713f66d042242071f9a00d&oe=61588CE1&_nc_sid=e7738c,"“People like to tell us what we can and can’t do, but we ain’t hearing that. Real Hot Girls know no one can define us, but us.” — @theestallion 😛
 
Megan Thee Stallion conquers any stage she touches, and so can you. Thee Hot Girl coach wants all the Hotties worldwide to know not every athlete is built the same. And sport is whatever you make it. 🔥🔥🔥
 
Hit the link in bio to learn more about Meg’s sport journey.

🎥: @mikecarson",251k,67604,1 week ago
5,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/242213599_618911406160276_2414839790617159741_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=1L7ByJVz27kAX_iHM1m&edm=AAWvnRQBAAAA&ccb=7-4&oh=1365a7bcd54845685e404702a28ce1f9&oe=61585E05&_nc_sid=e7738c,"“I just see everything we can achieve, if we all share the biggest stage together” - @bebe_vio 

1960 Rome. All eyes are on the biggest event, where fencing is taking the big stage at The Palazzo Dei Congressi. Fast forward to 2021. Gold-winning wheelchair fencer Bebe Vio doesn’t see two worlds. Two competitions. She just sees one event with everyone on the big stage. Because sport doesn’t belong to a chosen few, it belongs to anyone who chooses to play. ⚽🎾🏀🤺💫",138k,15600,2 weeks ago
6,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/241444589_535356504423764_486600398611293114_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=giP5RIvuBwkAX8oAkMz&edm=AAWvnRQBAAAA&ccb=7-4&oh=73286341a82805357ed79566734eaa72&oe=6158398A&_nc_sid=e7738c,"“I would be wasting my life if I wasn’t using my platform to change the negative perceptions around disability.”
 
With 14 major titles, Paralympic medals, a book, radio show, music festival, and foundation all to his name, Aussie @dylanalcott isn’t just the best wheelchair tennis player in the world. He’s an absolute legend.
 
Check out Dylan’s inspiring one-on-one with junior world champ, Ben Bartram. Link in bio.",129k,17802,3 weeks ago
7,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/241099656_229558065776637_6838717931255137579_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=tzzb7_QYxb8AX_iuvwg&edm=AAWvnRQBAAAA&ccb=7-4&oh=0bfeaa8bae7cf7162eab87aa3a6e23c3&oe=6158146A&_nc_sid=e7738c,"Brilliance knows no barriers.

@tatyanamcfaddenusa is proving she’s more than just a runner.

When we Play New, we can’t be stopped.",113k,44395,3 weeks ago
8,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/241090474_214479317218574_47655142623682199_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=lme12L4gYKQAX98c2-r&edm=AAWvnRQBAAAA&ccb=7-4&oh=209927e3164cfbd0031164dcf42ee66d&oe=61585F52&_nc_sid=e7738c,"“If things don’t work one way, try another. Don’t assume it’s impossible.” 

Gymnast @alexa.morenomx is vaulting to the top of Mexico’s most loved athlete list. When it comes to being a role-model for a new generation of girls, she sticks the landing every time.🔥",190k,28672,4 weeks ago
9,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/241070004_958624118329626_8303194975296433240_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=lF4rQhwe-4EAX_N2t8R&edm=AAWvnRQBAAAA&ccb=7-4&oh=055516c17bb91845954e52c64900e33e&oe=61588C1C&_nc_sid=e7738c,"Greatness starts with a goal.

@cristiano has just scored his record-breaking 110th 🇵🇹 goal, making him the top international men’s goal scorer of all time. 

His desire to be the greatest to play the game has continually driven him and football to new heights. This is more than just another goal scored - this is another goal achieved.

What goal are you working towards every day? Big or small, let us know in the comments below.",303k,10795,4 weeks ago
