Sr_No,Image_URL,Caption,Likes_in_1000,n_comments,Age,Labels,Anger,Joy,Surprise
0,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/243564933_1055630235230900_8154432272515486391_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=xc4ItHpVfdsAX-4cWuU&edm=AAWvnRQBAAAA&ccb=7-4&oh=b9588d1e75b8cc0b74fa4e2172ceb3aa&oe=6162D646&_nc_sid=e7738c,"“100% of myself is nothing compared to 1% of the team.” - @kipchogeeliud 
 
If marathon world-record holding, Olympic gold medalist Eliud Kipchoge believes in something, there’s probably something to it.
 
As runners, we’re all on the same team. Working toward the same goal. Not just to become better runners, but better versions of ourselves. 
 
Check @nikerunning for advice, insights and answers from elite athletes to first-time marathoners all season long.",290k,28175,5 days ago,"Furniture,Picture frame,Beard,Standing,Drawer,Cabinetry,Chest of drawers,Flooring,Luggage and bags,Art",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
1,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/242987639_391973482457075_8082023619889116750_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=_o6a2UkxXx8AX8wN-ky&edm=AAWvnRQBAAAA&ccb=7-4&oh=b1b25441e6802fd59bba6ea0abd9ccb3&oe=615DB3AE&_nc_sid=e7738c,"Meet @azusa25nigo, the founder of @skate_girls_snap. 🛹

Skate Girls Snap is a project that celebrates the diversity within Tokyo’s growing women’s skate scene. Through this project, Azusa is creating a more inclusive skate culture and inspiring the 
next generation of female skaters to be themselves.

Learn more about Skate Girls Snap and Azusa’s skate crew. Link in bio.

🎥: @nobu_arakawa @callumhasegawa",88k,66716,6 days ago,"Sleeve,Hat,Music,Workwear,Cool,Entertainment,Font,Performing arts,T-shirt,Electric blue",VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/243056513_105154028536806_3717902680743783568_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=IWezSVedyR4AX_syv9M&edm=AAWvnRQBAAAA&ccb=7-4&oh=789610427c0af39b1fd81b262d389a0a&oe=61625F1B&_nc_sid=e7738c,"It takes courage to take the first step 🏃. Just ask @azusa25nigo 🛹

When‍‍️ Azusa‍️ was‍️ 29,‍️ she‍ started‍ skateboarding.‍ And‍ when‍ she‍ noticed Tokyo’s‍️ female‍ skate‍‍️ scene‍️ lacked‍️ representation, she decided to‍️create‍️ it‍️ herself.‍️That’s‍ how‍ she‍️ founded‍‍️ @skate_girls_snap, a project that celebrates femle skaters in Tokyo.

Whether it’s embarking on a creative project, trying out a new trick, or even stepping on board for the first time—Azusa is showing women that in order to get somewhere, you just have to start.

Learn‍ more‍️ about Skate Girls‍️ Snap‍️ and‍ Azusa’s‍️ skate‍️ community.‍️ Link‍️ in‍️ bio.

📸: @photoby217",243k,46306,6 days ago,"Footwear,Jeans,Shoe,Wheel,Sports equipment,Skateboarder,Tree,Skateboard truck,Mammal,Skateboard",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
3,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/242624074_379460673834971_7334147969325767122_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=WtoozKbN5MIAX-BBALR&edm=AAWvnRQBAAAA&ccb=7-4&oh=9687ef70c03541ef4e394dc0673b66eb&oe=615DA996&_nc_sid=e7738c,"“The climate crisis is affecting my sport and athletes all over the world. Real snow has become a luxury. We need to use our voices and work together to make change happen.” 
 
Olympic gold medalist @chloekim knows that climate change affects the future of snowboarding. As temperatures and snowfall change, so will access to winter sports. 
 
Doing our research and raising our collective voice is the first step to doing our part to contribute to climate action. Click the link in our bio to learn more about how we can raise our collective voice to help protect the places we love.",159k,87011,1 week ago,"Joint,Skin,Shoe,Arm,Leg,Shorts,Purple,Knee,Comfort,Thigh",VERY_UNLIKELY,VERY_LIKELY,VERY_UNLIKELY
4,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/242508430_2876698145975843_802051358408845362_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=rKDquwnGv7sAX-rNRPj&edm=AAWvnRQBAAAA&ccb=7-4&oh=9093ad631f1bcb6cb44ebb4d431f1275&oe=615DD2E1&_nc_sid=e7738c,"“People like to tell us what we can and can’t do, but we ain’t hearing that. Real Hot Girls know no one can define us, but us.” — @theestallion 😛
 
Megan Thee Stallion conquers any stage she touches, and so can you. Thee Hot Girl coach wants all the Hotties worldwide to know not every athlete is built the same. And sport is whatever you make it. 🔥🔥🔥
 
Hit the link in bio to learn more about Meg’s sport journey.

🎥: @mikecarson",252k,67646,1 week ago,"Skin,Lip,Shoulder,White,Eyelash,Organ,Lingerie top,Hat,Fashion,Dress",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
5,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/242213599_618911406160276_2414839790617159741_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=BlYmlFlNl_wAX-P-ghF&edm=AAWvnRQBAAAA&ccb=7-4&oh=5f67ba699a90f61a22220972a236b86c&oe=615DA405&_nc_sid=e7738c,"“I just see everything we can achieve, if we all share the biggest stage together” - @bebe_vio 

1960 Rome. All eyes are on the biggest event, where fencing is taking the big stage at The Palazzo Dei Congressi. Fast forward to 2021. Gold-winning wheelchair fencer Bebe Vio doesn’t see two worlds. Two competitions. She just sees one event with everyone on the big stage. Because sport doesn’t belong to a chosen few, it belongs to anyone who chooses to play. ⚽🎾🏀🤺💫",138k,15615,2 weeks ago,"Chin,Smile,Arm,Muscle,Window,Mouth,Organ,Sleeve,Orange,Happy",VERY_UNLIKELY,POSSIBLE,VERY_UNLIKELY
6,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/241444589_535356504423764_486600398611293114_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=4rR-ZEqYnoIAX_rI0C1&edm=AAWvnRQBAAAA&ccb=7-4&oh=1d8f76db5e7468aa1686a73eb9e6f8c3&oe=615D7F8A&_nc_sid=e7738c,"“I would be wasting my life if I wasn’t using my platform to change the negative perceptions around disability.”
 
With 14 major titles, Paralympic medals, a book, radio show, music festival, and foundation all to his name, Aussie @dylanalcott isn’t just the best wheelchair tennis player in the world. He’s an absolute legend.
 
Check out Dylan’s inspiring one-on-one with junior world champ, Ben Bartram. Link in bio.",129k,17827,3 weeks ago,"Arm,T-shirt,Elbow,Sportswear,Player,Competition event,Recreation,Fun,Event,Sports uniform",LIKELY,VERY_UNLIKELY,VERY_UNLIKELY
7,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/e35/241099656_229558065776637_6838717931255137579_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=8hnVPKiF14cAX-zQLta&edm=AAWvnRQBAAAA&ccb=7-4&oh=9e040feae4b78f08951938347359c308&oe=615E032A&_nc_sid=e7738c,"Brilliance knows no barriers.

@tatyanamcfaddenusa is proving she’s more than just a runner.

When we Play New, we can’t be stopped.",113k,44402,1 month ago,"Wheel,Tire,Wheelchair,Muscle,Product,Orange,Smile,Yellow,Automotive tire,Shorts",VERY_UNLIKELY,VERY_LIKELY,VERY_UNLIKELY
8,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/e35/241090474_214479317218574_47655142623682199_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=POgTQ8bx47wAX8Br86J&edm=AAWvnRQBAAAA&ccb=7-4&oh=47adfed288f9a2bf883ef8dc9d95fd08&oe=615DA552&_nc_sid=e7738c,"“If things don’t work one way, try another. Don’t assume it’s impossible.” 

Gymnast @alexa.morenomx is vaulting to the top of Mexico’s most loved athlete list. When it comes to being a role-model for a new generation of girls, she sticks the landing every time.🔥",190k,28679,1 month ago,"Shoulder,Arm,Leg,Azure,Human body,Neck,Sleeve,Waist,Smile,Gesture",VERY_UNLIKELY,LIKELY,VERY_UNLIKELY
9,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/e35/241070004_958624118329626_8303194975296433240_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=YzZxzVNA3dcAX9PwWL3&edm=AAWvnRQBAAAA&ccb=7-4&oh=488c20e09fc2f8ff5791d9fdc8c382ea&oe=615DD21C&_nc_sid=e7738c,"Greatness starts with a goal.

@cristiano has just scored his record-breaking 110th 🇵🇹 goal, making him the top international men’s goal scorer of all time. 

His desire to be the greatest to play the game has continually driven him and football to new heights. This is more than just another goal scored - this is another goal achieved.

What goal are you working towards every day? Big or small, let us know in the comments below.",304k,10807,1 month ago,"Forehead,Jaw,Neck,Art,Sportswear,T-shirt,Eyewear,Quiff,Fashion design,Advertising",None,None,None
